Departamento|NombreAutoridad|Genero|Cargo|Partidos_Organizaciones|porcentaje
Beni|MARIO SUAREZ HURTADO|M|Alcalde|MNR|43.12
Beni|JAMPRI SCHESTRON SOTO|M|Alcalde|MAS-IPSP|54.38
Beni|JOSE ROCA HAENSEL|M|Alcalde|MNR|54.45
Beni|ANACLETO DAVALOS ARIAS|M|Alcalde|MAS-IPSP|49.64
Beni|JORGE AÑEZ CLAROS|M|Alcalde|MAS-IPSP|53.27
Beni|LARRY GARCIA SALAS|M|Alcalde|NACER|41.13
Beni|JOSE LUIS AÑEZ ROCA|M|Alcalde|MNR|62.04
Beni|JUAN AGREDA MORENO|M|Alcalde|MAS-IPSP|100
Beni|GINGER LLAPIZ LEIGUE|M|Alcalde|MAS-IPSP|100
Beni|HUGO VARGAS LIMA LOBO|M|Alcalde|MNR-UD|55
Beni|EFRAIN SALVATIERRA GUZMAN|M|Alcalde|MNR|41.72
Beni|CARLOS ALBERTO CUELLAR JUSTINIANO|M|Alcalde|MAS-IPSP|71.9
Beni|GABY VANIA BALCAZAR RIBERA|F|Alcalde|MAS-IPSP|100
Beni|WILSON LACOA ZABALA|M|Alcalde|NACER|62.62
Beni|ROBERTO TIBUSA MATARECO|M|Alcalde|NACER|44.71
Beni|OMAR NUÑEZ VELA RODRIGUEZ|M|Alcalde|MAS-IPSP|47.22
Beni|HELEN GORAYEB CALLEJAS|F|Alcalde|MNR|43.62
Beni|GUSTAVO HUMBERTO ANTELO CHAVEZ|M|Alcalde|MNR|54.32
Beni|MARCOS DAZA VELASCO|M|Alcalde|MAS-IPSP|56.56
Tarija|RODRIGO PAZ PEREIRA|M|Alcalde|UNIR|59.82
Tarija|ROGER SERGIO FARFAN QUIROGA|M|Alcalde|M. T. |74.08
Tarija|DELFOR GERMAN BURGOS AGUIRRE|M|Alcalde|MAS - IPSP|56.49
Tarija|RAMIRO VALLEJOS VILLALBA|M|Alcalde|UD-A|48.24
Tarija|WILMAN PEÑA MIRANDA |M|Alcalde|PRP|44.44
Tarija|OMAR YURA PEÑARANDA SORUCO|M|Alcalde|MAS - IPSP|33.68
Tarija|ALVARO HORACIO RUIZ GARCIA|M|Alcalde|MAS - IPSP|54.09
Tarija|GLADYS VALENTINA ALARCON FARFAN DE AYALA|F|Alcalde|MAS - IPSP|100
Tarija|CLAUDIO MIGUEL AVILA NAVAJAS|M|Alcalde|UNIR|67.74
Tarija|HUGO GIRON CONDORI|M|Alcalde|MAS - IPSP|64.89
Tarija|NICOLAS HERRERA BARCA|M|Alcalde|MAS - IPSP|63.05
Potosi|Eloy Luciano Cayari Gutierrez|M|Alcalde|MAS IPSP|75.32
Potosi|Raul Lorocachi Nicolas|M|Alcalde|MAS IPSP|100
Potosi|Martín Ibarra Arroyo|M|Alcalde|MAS IPSP|61.32
Potosi|Alfredo Mamani Vargas|M|Alcalde|MAS IPSP|100
Potosi|Juan Noel Tellez Rodriguez|M|Alcalde|MAS IPSP|51.8
Potosi|Jaime Fabian Choquevilca|M|Alcalde|AAOQ|53.06
Potosi|Valerio Ajomado Cruz|M|Alcalde|MAS IPSP|83.41
Potosi|Rafael Bautista Paucara|M|Alcalde|MAS IPSP|52.03
Potosi|William   Guzman Romero|M|Alcalde|AS|48.93
Potosi|Javier Ossio Huarachi|M|Alcalde|POTOSI MOP|60.42
